run_id	epoch	split	loss	accuracy	best_accuracy
2020-04-25 19:06:02.007020	1	train	0.061053086647718476	16.349683016349683	16.349683016349683
2020-04-25 19:06:02.007020	1	test	0.04821379659173404	26.630997583707284	26.630997583707284
2020-04-25 19:06:02.007020	2	train	0.03779835827477105	39.189189189189186	39.189189189189186
2020-04-25 19:06:02.007020	2	test	0.03900473523971168	36.72764929237142	36.72764929237142
2020-04-25 19:06:02.007020	3	train	0.03170918632754891	47.66433099766433	47.66433099766433
2020-04-25 19:06:02.007020	3	test	0.032614250470327025	44.787711425612706	44.787711425612706
2020-04-25 19:06:02.007020	4	train	0.027582788133287097	54.154154154154156	54.154154154154156
2020-04-25 19:06:02.007020	4	test	0.03434058273912587	42.958232654470144	44.787711425612706
2020-04-25 19:06:02.007020	5	train	0.025004031640671078	57.99132465799133	57.99132465799133
2020-04-25 19:06:02.007020	5	test	0.034712998017097776	44.943044528822924	44.943044528822924
2020-04-25 19:06:02.007020	6	train	0.02353259922068319	60.477143810477145	60.477143810477145
2020-04-25 19:06:02.007020	6	test	0.028313417279559824	53.34829133586469	53.34829133586469
2020-04-25 19:06:02.007020	7	train	0.02203884936588225	62.92959626292959	62.92959626292959
2020-04-25 19:06:02.007020	7	test	0.028577415350391242	54.05591991715568	54.05591991715568
2020-04-25 19:06:02.007020	8	train	0.02020532352191669	65.56556556556556	65.56556556556556
2020-04-25 19:06:02.007020	8	test	0.028043425768294907	52.36451501553331	54.05591991715568
2020-04-25 19:06:02.007020	9	train	0.020203121531037517	66.01601601601601	66.01601601601601
2020-04-25 19:06:02.007020	9	test	0.027821801245356576	55.52295478080773	55.52295478080773
2020-04-25 19:06:02.007020	10	train	0.018602740448397083	68.7354020687354	68.7354020687354
2020-04-25 19:06:02.007020	10	test	0.032349725602041	49.44770452191923	55.52295478080773
